user_id,avg_email_size,total_attachments,avg_recipients,total_file_actions,total_to_rem,total_from_rem,total_uses_rem,avg_file_size,total_device_actions,connected_count,total_logons,o,c,e,a,n,email,role,projects,business_unit,supervisor,start_date,end_date,employment_duration_days,is_active,functional_unit_id,functional_unit_name,department_id,department_name,team_id,team_name,anomaly
AAB0162,526.8455708195169,359,2.5665561345333967,30.0,0.0,0.0,0.0,528.1666666666666,0.0,0.0,711.0,45.0,36.0,33.0,15.0,33.0,amos.ahmed.burch@dtaa.com,HardwareEngineer,None,1.0,Jeanette Macey Simpson,2009-12-01,2011-06-01,724.0,False,3.0,ResearchAndEngineering_Government_Domestic,3.0,SoftwareManagement,3.0,EmbeddedSoftware,normal
AAB0398,564.0824863174355,836,2.35965598123534,36.0,0.0,0.0,0.0,456.8888888888889,0.0,0.0,712.0,16.0,38.0,16.0,26.0,34.0,allegra.april.bates@dtaa.com,AdministrativeAssistant,None,1.0,Deborah Madaline Horton,2009-12-01,2011-06-01,724.0,False,9.0,SalesAndMarketing_Government,0.0,0,0.0,0,normal
AAC0610,540.059405940594,261,2.551626591230552,1851.0,604.0,1056.0,1660.0,568.6866558616964,700.0,351.0,1052.0,46.0,35.0,50.0,42.0,31.0,ahmed.arsenio.cote@dtaa.com,SoftwareQualityEngineer,Project 20,1.0,Ann Tamekah Daniels,2009-12-01,2011-06-01,724.0,False,3.0,ResearchAndEngineering_Government_Domestic,3.0,SoftwareManagement,1.0,SQA,normal
AAC0668,529.9467625899281,468,2.4930455635491606,62.0,0.0,0.0,0.0,556.2258064516129,0.0,0.0,712.0,38.0,48.0,37.0,38.0,37.0,august.amal.carter@dtaa.com,MechanicalEngineer,None,1.0,Grace Jasmine Gamble,2009-12-01,2011-06-01,724.0,False,3.0,ResearchAndEngineering_Government_Domestic,4.0,Engineering,2.0,MechanicalEngineering,normal
AAC3270,555.9264069264069,118,2.632034632034632,8.0,0.0,0.0,0.0,757.875,0.0,0.0,712.0,26.0,37.0,42.0,45.0,30.0,alexis.aretha.castro@dtaa.com,StockroomClerk,None,1.0,Quincy Guy Shannon,2009-12-01,2011-06-01,724.0,False,5.0,Manufacturing_Commercial,3.0,Assembly,9.0,Stockroom,normal
AAD2188,560.0347826086957,60,2.6130434782608694,7.0,0.0,0.0,0.0,513.2857142857143,0.0,0.0,712.0,21.0,30.0,11.0,35.0,28.0,aretha.aimee.daugherty@dtaa.com,ProductionLineWorker,None,1.0,Zelda Idona Ross,2009-12-01,2011-06-01,724.0,False,5.0,Manufacturing_Commercial,3.0,Assembly,6.0,AssemblyDept,normal
AAD3030,563.1502013007123,950,2.57045524930319,211.0,0.0,0.0,0.0,750.7725118483412,0.0,0.0,712.0,43.0,35.0,19.0,26.0,31.0,alexander.abraham.decker@dtaa.com,SecurityGuard,None,1.0,Uriah Cain Weiss,2009-12-01,2011-06-01,724.0,False,1.0,Adminstration,5.0,Security,9.0,BuildingSecurity,normal
AAF0819,574.2957142857143,711,2.5604761904761904,3409.0,1036.0,2003.0,3039.0,536.511293634497,2056.0,1032.0,1052.0,30.0,18.0,14.0,38.0,25.0,adele.april.flowers@dtaa.com,SystemsEngineer,None,1.0,Jerry Reece Potts,2009-12-01,2011-06-01,724.0,False,4.0,ResearchAndEngineering_Government_Foreign,4.0,Engineering,5.0,SystemsEngineering,normal
AAF3937,551.0995670995671,85,2.619047619047619,10.0,0.0,0.0,0.0,353.3,0.0,0.0,712.0,39.0,37.0,39.0,19.0,30.0,aristotle.albert.fulton@dtaa.com,ProductionLineWorker,None,1.0,Keegan Noah Riggs,2009-12-01,2011-06-01,724.0,False,5.0,Manufacturing_Commercial,3.0,Assembly,14.0,AssemblyDept,normal
AAG1447,523.8111587982833,230,2.6175488793514545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0,41.0,36.0,17.0,20.0,29.0,amir.akeem.garrison@dtaa.com,SystemsEngineer,Project 13,1.0,Zenia Basia Whitley,2009-12-01,2011-06-01,724.0,False,4.0,ResearchAndEngineering_Government_Foreign,4.0,Engineering,10.0,SystemsEngineering,normal
AAG3799,520.4001156403585,472,2.5550737207285343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,45.0,46.0,15.0,39.0,36.0,amaya.angela.guthrie@dtaa.com,Salesman,None,1.0,Martina Nina Cain,2009-12-01,2011-06-01,724.0,False,9.0,SalesAndMarketing_Government,2.0,Sales,6.0,RegionalSales,normal
AAH0721,507.9799235181644,427,2.6496175908221797,79.0,0.0,0.0,0.0,401.1392405063291,0.0,0.0,712.0,19.0,39.0,30.0,44.0,24.0,aiko.aimee.hyde@dtaa.com,Physicist,None,1.0,Jonathan Laith Casey,2009-12-01,2011-06-01,724.0,False,4.0,ResearchAndEngineering_Government_Foreign,2.0,Research,1.0,Lab,normal
AAM0138,548.6714507370054,327,2.360744763382467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0,30.0,43.0,21.0,28.0,28.0,alan.avram.moore@dtaa.com,AdministrativeAssistant,None,1.0,Inez Sage Marks,2009-12-01,2011-06-01,724.0,False,3.0,ResearchAndEngineering_Government_Domestic,2.0,Research,0.0,0,normal
AAM0729,538.4050991501416,149,2.536827195467422,16.0,0.0,0.0,0.0,614.6875,0.0,0.0,712.0,42.0,37.0,26.0,24.0,23.0,aristotle.avram.moran@dtaa.com,SoftwareQualityEngineer,Project 48,1.0,Rose Angela Salas,2009-12-01,2011-06-01,724.0,False,4.0,ResearchAndEngineering_Government_Foreign,3.0,SoftwareManagement,1.0,SQA,normal
