user_id,avg_email_size,total_attachments,avg_recipients,total_file_actions,total_to_rem,total_from_rem,total_uses_rem,avg_file_size,total_device_actions,connected_count,total_logons,o,c,e,a,n,email,role,projects,business_unit,supervisor,start_date,end_date,employment_duration_days,is_active,functional_unit_id,functional_unit_name,department_id,department_name,team_id,team_name,anomaly,alert_id,event_time,log_type,rule_name,severity,description,rule_alert_count,rule_binary,iso_score,true_label,hybrid
AAB0162,526.8455708195169,359,2.5665561345333967,30.0,0.0,0.0,0.0,528.1666666666666,0.0,0.0,711.0,45.0,36.0,33.0,15.0,33.0,amos.ahmed.burch@dtaa.com,HardwareEngineer,,1.0,Jeanette Macey Simpson,2009-12-01,2011-06-01,724.0,False,3.0,ResearchAndEngineering_Government_Domestic,3.0,SoftwareManagement,3.0,EmbeddedSoftware,0,3308.0,2010-01-14 17:45:38,email,Large email with attachment,HIGH,Possible data exfiltration via email attachment,3863,1,0.18650874426421482,0,1
AAB0398,564.0824863174355,836,2.35965598123534,36.0,0.0,0.0,0.0,456.8888888888889,0.0,0.0,712.0,16.0,38.0,16.0,26.0,34.0,allegra.april.bates@dtaa.com,AdministrativeAssistant,,1.0,Deborah Madaline Horton,2009-12-01,2011-06-01,724.0,False,9.0,SalesAndMarketing_Government,0.0,0,0.0,0,0,1176.0,2010-04-09 15:05:33.000,email,Large email with attachment,HIGH,Possible data exfiltration via email attachment,8446,1,0.13233194418916622,0,1
AAC0610,540.059405940594,261,2.551626591230552,1851.0,604.0,1056.0,1660.0,568.6866558616964,700.0,351.0,1052.0,46.0,35.0,50.0,42.0,31.0,ahmed.arsenio.cote@dtaa.com,SoftwareQualityEngineer,Project 20,1.0,Ann Tamekah Daniels,2009-12-01,2011-06-01,724.0,False,3.0,ResearchAndEngineering_Government_Domestic,3.0,SoftwareManagement,1.0,SQA,0,2807.0,2010-04-19 07:58:05.000,email,Large email with attachment,HIGH,Possible data exfiltration via email attachment,13777,1,0.07519146631394785,0,1
AAC0668,529.9467625899281,468,2.4930455635491606,62.0,0.0,0.0,0.0,556.2258064516129,0.0,0.0,712.0,38.0,48.0,37.0,38.0,37.0,august.amal.carter@dtaa.com,MechanicalEngineer,,1.0,Grace Jasmine Gamble,2009-12-01,2011-06-01,724.0,False,3.0,ResearchAndEngineering_Government_Domestic,4.0,Engineering,2.0,MechanicalEngineering,0,21781.0,2010-04-20 16:10:14.000,email,Large email with attachment,HIGH,Possible data exfiltration via email attachment,2973,1,0.16746588933184825,0,1
AAC3270,555.9264069264069,118,2.632034632034632,8.0,0.0,0.0,0.0,757.875,0.0,0.0,712.0,26.0,37.0,42.0,45.0,30.0,alexis.aretha.castro@dtaa.com,StockroomClerk,,1.0,Quincy Guy Shannon,2009-12-01,2011-06-01,724.0,False,5.0,Manufacturing_Commercial,3.0,Assembly,9.0,Stockroom,0,46017.0,2010-11-11 10:50:38.000,email,Large email with attachment,HIGH,Possible data exfiltration via email attachment,511,1,0.15580151963132083,1,1
AAD2188,560.0347826086957,60,2.6130434782608694,7.0,0.0,0.0,0.0,513.2857142857143,0.0,0.0,712.0,21.0,30.0,11.0,35.0,28.0,aretha.aimee.daugherty@dtaa.com,ProductionLineWorker,,1.0,Zelda Idona Ross,2009-12-01,2011-06-01,724.0,False,5.0,Manufacturing_Commercial,3.0,Assembly,6.0,AssemblyDept,0,22311.0,2010-04-19 14:22:15.000,email,Large email with attachment,HIGH,Possible data exfiltration via email attachment,881,1,0.16933117608447218,0,1
AAD3030,563.1502013007123,950,2.57045524930319,211.0,0.0,0.0,0.0,750.7725118483412,0.0,0.0,712.0,43.0,35.0,19.0,26.0,31.0,alexander.abraham.decker@dtaa.com,SecurityGuard,,1.0,Uriah Cain Weiss,2009-12-01,2011-06-01,724.0,False,1.0,Adminstration,5.0,Security,9.0,BuildingSecurity,0,182.0,2010-06-09 10:23:29.000,email,Large email with attachment,HIGH,Possible data exfiltration via email attachment,5794,1,0.152885397932417,0,1
AAF0819,574.2957142857143,711,2.5604761904761904,3409.0,1036.0,2003.0,3039.0,536.511293634497,2056.0,1032.0,1052.0,30.0,18.0,14.0,38.0,25.0,adele.april.flowers@dtaa.com,SystemsEngineer,,1.0,Jerry Reece Potts,2009-12-01,2011-06-01,724.0,False,4.0,ResearchAndEngineering_Government_Foreign,4.0,Engineering,5.0,SystemsEngineering,1,644.0,2010-01-27 16:24:12.000,email,Large email with attachment,HIGH,Possible data exfiltration via email attachment,42851,1,-0.0005799204724716844,0,1
AAF3937,551.0995670995671,85,2.619047619047619,10.0,0.0,0.0,0.0,353.3,0.0,0.0,712.0,39.0,37.0,39.0,19.0,30.0,aristotle.albert.fulton@dtaa.com,ProductionLineWorker,,1.0,Keegan Noah Riggs,2009-12-01,2011-06-01,724.0,False,5.0,Manufacturing_Commercial,3.0,Assembly,14.0,AssemblyDept,0,4536.0,2010-04-30 16:34:37.000,email,Large email with attachment,HIGH,Possible data exfiltration via email attachment,597,1,0.18037704057242104,0,1
AAG1447,523.8111587982833,230,2.6175488793514545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0,41.0,36.0,17.0,20.0,29.0,amir.akeem.garrison@dtaa.com,SystemsEngineer,Project 13,1.0,Zenia Basia Whitley,2009-12-01,2011-06-01,724.0,False,4.0,ResearchAndEngineering_Government_Foreign,4.0,Engineering,10.0,SystemsEngineering,0,9813.0,2010-04-09 10:22:48.000,email,Large email with attachment,HIGH,Possible data exfiltration via email attachment,2311,1,0.17237896311711398,0,1
